2 , -0.0771237 , 0.2039924 , 0.2567930 , 0.0481234
30 , 0.0577749 , 0.3005514 , -0.0252184 , 0.9072707
31 , -0.0406206 , 0.4609842 , 0.1461165 , 0.4231877
32 , 0.0388185 , 0.5084867 , 0.0085682 , 0.9555414
33 , -0.0428321 , 0.4837017 , -0.0473126 , 0.7417827
34 , 0.0409185 , 0.4755218 , -0.2331192 , 0.1586564
35 , -0.1387738 , 0.0136851 , 0.3259031 , 0.0495563
36 , -0.0703112 , 0.1899393 , 0.1635364 , 0.4559129
37 , -0.0618076 , 0.2640152 , -0.0743068 , 0.6903026
38 , -0.0579042 , 0.3541493 , 0.0308845 , 0.8175689
39 , 0.0627953 , 0.2744177 , -0.2627821 , 0.1167205
3 , -0.0225467 , 0.7106044 , 0.0151233 , 0.9077072
40 , -0.0369863 , 0.5079954 , -0.0912952 , 0.5691374
41 , -0.0409080 , 0.4849291 , 0.2949303 , 0.0553206
42 , 0.0317057 , 0.5897889 , -0.0071762 , 0.9618660
43 , 0.0077405 , 0.8948525 , -0.3898094 , 0.0446223
44 , 0.0184221 , 0.7613912 , -0.1465584 , 0.3410964
45 , 0.0286999 , 0.6364765 , -0.0689087 , 0.6658289
46 , 0.0661448 , 0.2398499 , -0.1971669 , 0.2686189
47 , 0.0382616 , 0.4970068 , -0.1014263 , 0.5653789
48 , 0.0452789 , 0.4381129 , -0.2805836 , 0.0338324
49 , 0.0494668 , 0.4030291 , -0.2093957 , 0.1560911
4 , -0.1583808 , 0.0071062 , 0.3482167 , 0.0058754
50 , 0.0410565 , 0.4952649 , -0.0615444 , 0.6954525
51 , -0.0542233 , 0.3466507 , 0.1047189 , 0.5334971
52 , 0.0356348 , 0.5586276 , -0.0536878 , 0.7018369
53 , 0.0410293 , 0.5069902 , -0.0463458 , 0.7430708
54 , -0.0581674 , 0.3038405 , 0.1524847 , 0.2982586
55 , -0.0623018 , 0.2624275 , 0.3687176 , 0.0322501
56 , -0.0431517 , 0.4686802 , 0.0725548 , 0.6156045
57 , -0.0908917 , 0.1071230 , 0.2229629 , 0.2084268
58 , -0.0335129 , 0.5501235 , 0.0909445 , 0.5974612
59 , -0.0395536 , 0.4662287 , 0.1418187 , 0.5899157
5 , -0.0493984 , 0.3976187 , 0.1935713 , 0.1880568
60 , 0.0094846 , 0.8685225 , -0.2192998 , 0.2474601
61 , 0.0394677 , 0.5115584 , -0.2016871 , 0.1977087
62 , 0.0661582 , 0.2473478 , -0.2954320 , 0.0710583
63 , -0.0553710 , 0.3360162 , -0.0809979 , 0.5724394
64 , -0.0209588 , 0.7161166 , -0.0792761 , 0.6553204
65 , 0.0742680 , 0.1838640 , -0.4098127 , 0.0306236
66 , 0.0192599 , 0.7523150 , -0.0981241 , 0.5049393
67 , -0.0237758 , 0.6719221 , 0.0700675 , 0.7288025
68 , 0.0272406 , 0.6352698 , -0.2314227 , 0.1990164
69 , 0.0965806 , 0.1032985 , -0.3008645 , 0.0262849
6 , -0.0083038 , 0.8889482 , 0.1661377 , 0.2209134
70 , -0.0584606 , 0.3088437 , 0.0703022 , 0.6805566
71 , 0.0253525 , 0.6709508 , -0.1768340 , 0.2072936
72 , -0.0532752 , 0.3606496 , 0.1578042 , 0.2960754
73 , -0.0116911 , 0.8460629 , -0.1246748 , 0.3368576
74 , 0.0541033 , 0.3804331 , -0.1423326 , 0.2727500
75 , 0.0044145 , 0.9361379 , 0.1431431 , 0.4294006
76 , 0.0679302 , 0.2520849 , -0.3180097 , 0.0164615
77 , -0.0544062 , 0.3235997 , 0.2096572 , 0.2594120
78 , -0.0385083 , 0.5246903 , 0.2476834 , 0.0763618
79 , -0.0339552 , 0.5702024 , 0.1700502 , 0.2594169
7 , 0.0249683 , 0.6645060 , 0.0235449 , 0.8681570
80 , 0.1049213 , 0.0721192 , -0.1113773 , 0.5007578
81 , 0.1242938 , 0.0404303 , -0.3375943 , 0.0056742
82 , 0.0705264 , 0.2307721 , -0.2417338 , 0.0628842
83 , -0.0403851 , 0.4810924 , 0.2738961 , 0.1501012
84 , 0.0284719 , 0.6172963 , -0.0584441 , 0.7304858
85 , -0.0562293 , 0.3443001 , 0.0169915 , 0.9154702
86 , -0.0482216 , 0.3926965 , 0.0732226 , 0.7169333
87 , -0.0350115 , 0.5451653 , 0.0587022 , 0.7577293
88 , 0.1116488 , 0.0640337 , -0.4455893 , 0.0004216
89 , 0.0441618 , 0.4657111 , -0.3744372 , 0.0027642
8 , 0.0090039 , 0.8760128 , 0.2348056 , 0.0644178
90 , 0.0630354 , 0.2803307 , -0.3362718 , 0.0297344
91 , -0.0090297 , 0.8806647 , -0.2552464 , 0.0580490
92 , 0.0704304 , 0.2122430 , 0.0051654 , 0.9735901
93 , 0.0405817 , 0.4688945 , -0.1167805 , 0.4677459
94 , 0.0020401 , 0.9703238 , -0.1326493 , 0.5439794
95 , 0.0593539 , 0.3156005 , -0.2731548 , 0.0953814
96 , -0.0246531 , 0.6733591 , 0.1269939 , 0.4306299
97 , 0.0578307 , 0.3432772 , 0.0609115 , 0.6702670
98 , 0.0132139 , 0.8281204 , -0.1541929 , 0.2511121
99 , -0.0661128 , 0.2532339 , 0.2406688 , 0.2242423
9 , -0.0478404 , 0.4149006 , 0.1466140 , 0.3045152
